AMZN-Amazon to launch food and drink sales in Mexico-Amazon to launch food and drink sales in Mexico,,,,,,
"XOM-Exxon Plans $50 Billion Building Spree, But Details Scarce-Exxon Mobil Corp. is set to invest $50 billion over the next half decade in a return to the oil giant’s spending habits before crude suffered its worst price rout in a generation.",,,,,,
NDAQ-Nasdaq to Boost Technology Offering With Cinnober Buyout-Nasdaq's (NDAQ) intends to enhance its technology and analytics capability with Cinnober consolidation.,,,,,,
GPN-Savvy Senior 'Income Factory' Churns Out The Cash While Market Prices Languish-NA,,,,,,
PG-Dividend Sensei's Portfolio Update 33: A Priceless Buffett Strategy That Can Make You Rich-NA,,,,,,
MDT-FDA OKs Medtronic's myPTM for on-demand pain management-NA,,,,,,
"PSX-Pre-Market Technical Scan on Oil & Gas Equities -- PBF Energy, Phillips 66, Renewable Energy, and Sunoco-PR Newswire NEW YORK, May 02, 2018 NEW YORK, May 02, 2018 /PRNewswire/ -- WallStEquities.com strives to bring the best free research to the investment community.  Today we are offering reports on PBF, PSX, REGI, and SUN which can be accessed for f...",,,,,,
ECL-Ecolab CEO on his 'tariff-proof' manufacturing strategy-Ecolab CEO Doug Baker joins 'Squawk Box' to discuss his 'tariff-proof' strategy and why he doesn't think tariffs will hurt them.,,,,,,
DGX-Quest Diagnostics to acquire U.S. lab operations of Oxford Immunotec-NA,,,,,,
DRE-Duke Realty declares $0.20 dividend-NA,,,,,,
D-Where Should You Be Looking?-NA,,,,,,
SPG-Rose Portfolio 93 Stock Cost Per Share Revealed In The First Half And Q2 2018 Report-NA,,,,,,
"GS-Goldman Sachs wants your piggy bank-The ""giant vampire squid"" will target the UK savings market next week - but will it be a damp squib?",,,,,,
AEP-BRIEF-American Electric Power Plans To Invest $17.7 Bln In Capital Over Next Three Years-* AMERICAN ELECTRIC POWER COMPANY INC - PLAN TO INVEST $17.7 BILLION IN CAPITAL OVER NEXT THREE YEARS Source text for Eikon: Further company coverage:,,,,,,
"AMP-Ameriprise Financial Services (AMP) Q3 Earnings and Revenues Surpass Estimates-Ameriprise (AMP) delivered earnings and revenue surprises of 3.60% and 3.30%, respectively, for the quarter ended September 2018. Do the numbers hold clues to what lies ahead for the stock?",,,,,,
"IR-Panthers place LT Kalil on IR; out at least 8 games-The Panthers have placed Matt Kalil on injured reserve with a knee injury, meaning the team's starting left tackle will miss at least eight games",,,,,,
"CTSH-Income tax demand is not justified, Cognizant tells High Court-Cognizant Technology Solutions today submitted in the Madras High Court that the tax demand made by the Income Tax department was not justified and without jurisdiction.The court had in April granted interim stay on the Income Tax department's pro...",,,,,,
LLL-Defense stocks in focus after Syria attack-NA,,,,,,
ES-Eversource Energy (ES) Q1 2018 Results - Earnings Call Transcript-NA,,,,,,
"FL-Foot Locker, Inc. (FL) Q1 2018 Earnings Conference Call Transcript-FL earnings call for the period ending May 5, 2018.",,,,,,
"SNA-BRIEF-Snap-On Inc says <U+200D>On Feb 20 Co Entered Into Underwriting Agreement-* SNAP-ON INC - <U+200D>ON FEBRUARY 20, 2018, CO ENTERED INTO AN UNDERWRITING AGREEMENT - SEC FILING<U+200B>",,,,,,
SYK-A Happy First Year Anniversary For The Dividend Growth TR Portfolio-NA,,,,,,
"ITW-Home Bay is Expanding to Colorado, Continuing its Rapid Growth-PR Newswire SAN DIEGO, May 4, 2018 SAN DIEGO, May 4, 2018 /PRNewswire/ -- Home Bay, a technology-driven real estate company, is expanding to Colorado, bringing its presence to six states, including California, Florida, Illinois, Georgia and Texas....",,,,,,
"EMR-Muni Fortnightly - July 2, 2018-NA",,,,,,
HOG-Is Harley-Davidson's Vision for the Future Realistic?-There are questions of whether it can read the signs on the roadmap its laid out.,,,,,,
"BMY-Bristol-Myers' Opdivo fails to meet lung cancer study goal-Bristol-Myers Squibb Co said on Friday its blockbuster cancer drug Opdivo failed to meet the main goal in patients with a type of lung cancer, that had relapsed after chemotherapy.",,,,,,
APD-The Passive DGI Core Portfolio: Midyear Review-NA,,,,,,
GLW-Corning questions judging after missing slopestyle qualification-NA,,,,,,
KMB-Buy Kotak Mahindra Bank; target of Rs 1440: ICICI Direct-NA,,,,,,
"JNPR-Juniper Launches Cost-Effective Contrail Edge Cloud Solution-Juniper Networks' (JNPR) Contrail Edge Cloud solution provides automation, security and analytics features in a cost and resource efficient manner.",,,,,,
"WFC-Three big U.S. banks report earnings-Quarterly profit at JPMorgan Chase missed expectations, Wells Fargo and Citi beat on profits. Aleksandra Michalska reports.}",,,,,,
SCG-SCANA upgraded at Mizuho amid strong legal case in South Carolina rate cut-NA,,,,,,
"CMA-Comerica Incorporated (CMA) Q2 2018 Earnings Conference Call Transcript-CMA earnings call for the period ending June 30, 2018.",,,,,,
"GM-Gates Industrial: New IPO Has Value, But Better Buying Opportunities Are Likely-NA",,,,,,
"TPR-Dow, S&P 500 halt 4-session skid as Turkish lira angst takes a breather-U.S. stocks closed Tuesday's session solidly in the green, halting a multiday tumble for the three main equity benchmarks, which advanced as Turkey's currency slide abated, allowing investors to focus instead on a healthy domestic economy and stro...",,,,,,
"HRS-Harris wins upgrade award from Asian nation-Harris ([[HRS]] +0.4%) has been selected as the prime systems integrator to modernize and upgrade an Asian nation's military communications network, extend",,,,,,
"HPE-Why HP Inc. Is Optimistic about Its Long-Term Growth-Since its split from Hewlett Packard Enterprise (HPE) in November 2015, HP Inc. (HPQ) has turned in a solid performance. After HP Inc. experienced a revenue decline of 6.2% YoY (year-over-year) in fiscal 2016, its revenues rose ~8.0% YoY in fiscal...",,,,,,
"CMG-Chipotle shares rise after RBC upgrades the stock and predicts 20% rally-New management at Chipotle Mexican Grill will grow sales at the burrito chain through a new menu, digital and delivery offerings and other marketing successes, according to RBC Capital Markets.",,,,,,
ED-Consolidated Edison declares $0.715 dividend-NA,,,,,,
"MOS-Mosaic Co. upgraded to overweight from neutral at J.P. Morgan-This is a Real-time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news.",,,,,,
"DISH-UPDATE 1-Dish results beat estimates as subscriber losses slow-U.S. satellite TV service provider Dish Network Corp reported better-than-expected quarterly profit and revenue on Friday, as the pace of subscriber losses for its pay-TV services slowed.",,,,,,
UNH-UnitedHealth Group (UNH) Q3 Earnings And Revenues Surpass Estimates-https://www.investing.com/analysis/unitedhealth-group-unh-q3-earnings-and-revenues-surpass-estimates-200348650,,,,,,
MS-JPMorgan And Dimon's 'Golden Age Of Banking' - An Assessment-NA,,,,,,
ADM-Report: Rumor has Glencore taking a shine to Bunge for potential bid-NA,,,,,,
"CMG-Why Did Chipotle (CMG) Stock Pop Today?-Chipotle Mexican Grill shares rose $7.84, or 2.4%, since yesterday's close at $326.60. Why is this the case? The root is managerial transitions.",,,,,,
"GPC-'Safer' Dividend Aristocrats Gain Best By Walmart, Mickey D, Procter, Leggett And Medtronic, Per March Targets-NA",,,,,,
"FOX-'Shape of Water' wins Best Picture Oscar-Fantastical romance The Shape of Water (FOXA) won the Oscar for Best Picture on Sunday, with Guillermo Del Toro claiming the honor for best director. Other",,,,,,
"UNH-Stocks to Watch: Goldman Sachs, Netflix, Amazon, Tesla, Microsoft, Roku, UnitedHealth, J&J, Walmart-Among the companies with shares expected to trade actively in Tuesday's session are Goldman Sachs, Netflix, Amazon.com, Tesla, Microsoft and Roku.",,,,,,
"CBS-Google Cracks Down, Walmart Expands, Oil Jumps (Wall Street Breakfast Podcast)-NA",,,,,,
"AMAT-US stocks struggle after yesterday's powerful rally-Major US equity indices took a breather after previous session's powerful rally and witnessed a rather lacklustre opening on the last trading day of the week. The recent recovery in the Turkish Lira ran out of steam on Friday, with a sharp slide o...",,,,,,
IP-Containerboard sector shakeup-NA,,,,,,
FLS-Flowserve (FLS) Down 12.1% Since Earnings Report: Can It Rebound?-Flowserve (FLS) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,,,,,,
"ETN-20 Dividend Increases: February 26-March 2, 2018 (Part 2: Remaining Sectors)-NA",,,,,,
"GD-General Dynamics beats by $0.17, misses on revenue-NA",,,,,,
"DISCA-Discovery Communications, Taiwan Semiconductor Manufacturing, World Wrestling Entertainment and Comcast highlighted as Zacks Bull and Bear of the Day-Discovery Communications, Taiwan Semiconductor Manufacturing, World Wrestling Entertainment and Comcast highlighted as Zacks Bull and Bear of the Day",,,,,,
"ADM-ADM profit rises on higher soy processing margins-Archer Daniels Midland Co (ADM.N) on Tuesday reported a 16 percent increase in quarterly profit, as the U.S. grains merchant highlighted higher margins for and record volumes of soybean processing in North and South America.",,,,,,
O-What's The Deal With Realty Income?-NA,,,,,,
FLR-Fluor (FLR) to Report Q2 Earnings: What's in the Cards?-Gradual improvement in the energy and mining sectors is likely to prove conducive to Fluor's (FLR) second-quarter earnings.,,,,,,
MSFT-Microsoft set to report earnings after the bell-Microsoft is expected to again see the biggest growth from its Azure cloud.,,,,,,
"STX-6 Reasons Western Digital Has 20 Percent More Upside-Micron indirectly acted as a catalyst for markets to bid Western Digital stock to above $100. Valuations are still very compelling, implying 20 percent more ups",,,,,,
"REGN-Regeneron Pharmaceuticals Inc (NASDAQ:REGN): Financial Strength Analysis-With a market capitalization of US$43.5b, Regeneron Pharmaceuticals Inc (NASDAQ:REGN) is a large-cap stock, which is considered by most investors as a safe bet. Common characteristics for these big stocks Read More...",,,,,,
"KR-Kroger ground beef among 35,000 pounds recalled for potential plastic bits-A North Carolina company has recalled more than 35,000 pounds of ground beef, sold in Kroger stores, for possible contamination with plastic bits.",,,,,,
"CTSH-UPDATE 2-Cognizant revenue, forecast disappoint; shares slide-Cognizant Technology Solutions Corp missed estimates for quarterly revenue and forecast a weak third quarter, hurt by lower-than-expected spending from clients in the financial industry, sending its shares down as much as 8.6 percent.",,,,,,
EA-EA dips on report that 'Anthem' slips to 2019-NA,,,,,,
"PNR-Pentair Sinks 36% in 3 Months: What's Pulling the Stock Down?-Although Pentair's (PNR) separation of the Electrical business will provide financial, operational and other benefits to the company, risks persist in connection with the separation.",,,,,,
